SSC_NAME16	PrivateDwelling	persons
Aarons Pass	0	4
Aarons Pass	1	21
Abbotsbury	0	79
Abbotsbury	1	4175
Abbotsford (NSW)	0	355
Abbotsford (NSW)	1	4962
Abercrombie	0	38
Abercrombie	1	1056
Abercrombie River	1	24
Aberdare	0	111
Aberdare	1	2309
Aberdeen (NSW)	0	136
Aberdeen (NSW)	1	1884
Aberfoyle	0	13
Aberfoyle	1	91
Aberglasslyn	0	136
Aberglasslyn	1	5167
Abermain	0	99
Abermain	1	2177
Abernethy	0	68
Abernethy	1	278
Abington (NSW)	1	7
Acacia Creek	1	42
Acacia Gardens	0	76
Acacia Gardens	1	3699
Adaminaby	0	180
Adaminaby	1	275
Adamstown	0	209
Adamstown	1	5698
Adamstown Heights	0	103
Adamstown Heights	1	5116
Adelong	0	47
Adelong	1	866
Adjungbilly	0	3
Adjungbilly	1	75
Afterlee	0	5
Afterlee	1	46
Agnes Banks	0	71
Agnes Banks	1	827
Airds	0	277
Airds	1	2701
Akolele	0	48
Akolele	1	122
Albert	0	26
Albert	1	62
Albion Park	0	510
Albion Park	1	12524
Albion Park Rail	0	445
Albion Park Rail	1	6364
Albury	0	1256
Albury	1	4071
Aldavilla	0	564
Aldavilla	1	650
Alectown	0	9
Alectown	1	164
Alexandria	0	611
Alexandria	1	7468
Alfords Point	0	42
Alfords Point	1	3036
Alfredtown	0	21
Alfredtown	1	88
Alice	1	10
Alison (Central Coast - NSW)	0	5
Alison (Central Coast - NSW)	1	83
Alison (Dungog - NSW)	0	8
Alison (Dungog - NSW)	1	70
Allambie Heights	0	302
Allambie Heights	1	6540
Allandale (NSW)	0	3
Allandale (NSW)	1	67
Allawah	0	179
Allawah	1	5469
Alleena	0	8
Alleena	1	51
Allgomera	0	9
Allgomera	1	119
Allworth	0	16
Allworth	1	156
Allynbrook	0	3
Allynbrook	1	64
Alma Park	1	52
Alpine	0	18
Alpine	1	118
Alstonvale	0	21
Alstonvale	1	417
Alstonville	0	392
Alstonville	1	5270
Alumy Creek	0	3
Alumy Creek	1	80
Amaroo (NSW)	0	7
Amaroo (NSW)	1	38
Ambarvale	0	390
Ambarvale	1	6942
Amosfield	1	30
Anabranch North	1	9
Anabranch South	0	4
Anabranch South	1	34
Anambah	0	13
Anambah	1	16
Ando	1	70
Anembo	0	15
Anembo	1	47
Angledale	0	15
Angledale	1	142
Angledool	0	12
Angledool	1	37
Anglers Reach	0	120
Anglers Reach	1	67
Angourie	0	31
Angourie	1	190
Anna Bay	0	351
Anna Bay	1	3370
Annandale (NSW)	0	986
Annandale (NSW)	1	8274
Annangrove	0	39
Annangrove	1	1333
Appin (NSW)	0	122
Appin (NSW)	1	2468
Apple Tree Flat	0	8
Apple Tree Flat	1	28
Appleby	0	3
Appleby	1	38
Appletree Flat	0	3
Appletree Flat	1	11
Apsley (NSW)	0	3
Apsley (NSW)	1	104
Arable	1	14
Arakoon	0	39
Arakoon	1	387
Araluen (NSW)	0	25
Araluen (NSW)	1	130
Aratula (NSW)	1	9
Arcadia (NSW)	0	34
