SSC_NAME16	unemployment
Abbotsbury	4.3
Abbotsford (NSW)	3.5
Abercrombie	3.6
Aberdare	12.7
Aberdeen (NSW)	6.8
Aberfoyle	6.6
Aberglasslyn	6
Abermain	8.8
Abernethy	7
Acacia Creek	22.7
Acacia Gardens	4.9
Adaminaby	4.1
Adamstown	6.6
Adamstown Heights	5.2
Adelong	7.3
Adjungbilly	8.7
Agnes Banks	3.6
Airds	25.7
Albion Park	5.7
Albion Park Rail	7.3
Albury	5.6
Aldavilla	5
Alectown	3.5
Alexandria	3.5
Alfords Point	3.7
Alison (Central Coast - NSW)	7.5
Allambie Heights	3.2
Allandale (NSW)	7
Allawah	7.8
Allgomera	7.8
Allworth	6.8
Alstonvale	5.1
Alstonville	5.9
Ambarvale	9.7
Anambah	23.1
Anembo	11.1
Angourie	4.4
Anna Bay	7.2
Annandale (NSW)	4.3
Annangrove	1.8
Appin (NSW)	3.4
Arakoon	7.7
Araluen (NSW)	4.6
Arcadia (NSW)	3.3
Arcadia Vale	7.2
Ardglen	28
Arding	4.3
Ardlethan	8.6
Argenton	12.1
Argents Hill	3.4
Ariah Park	2.1
Armatree	10.4
Armidale	8.3
Arncliffe	6.3
Arrawarra	9.3
Arrawarra Headland	7.4
Artarmon	5.2
Ashbury	3.5
Ashby (NSW)	7.3
Ashby Heights	18.7
Ashcroft	13.6
Ashfield (NSW)	7
Ashford (NSW)	8.8
Ashley	1.7
Ashmont	12.8
Ashtonfield	5.3
Asquith	4.9
Attunga	3.8
Auburn (NSW)	12.6
Austinmer	5
Austral	4.5
Avalon Beach	3.5
Avoca (NSW)	2.9
Avoca Beach	4.9
Avondale (NSW)	7.6
Avonside	5.4
Awaba	6.3
Aylmerton	7.7
Baan Baa	7.4
Badgerys Creek	4.4
Bakers Swamp	11.5
Balaclava (NSW)	1.7
Balala	7.3
Balcolyn	6.1
Bald Hills (NSW)	2.6
Baldersleigh	9.1
Baldry	6.4
Balgowlah	3.2
Balgowlah Heights	3.8
Balgownie	4.3
Balladoran	7.8
Ballengarra	16.3
Ballimore	4
Ballina	7.3
Balmain	3.8
Balmain East	4.5
Balmoral (Lake Macquarie - NSW)	7.4
Balmoral (Wingecarribee - NSW)	3.4
Balranald	7.6
Bandon Grove	4.9
Bangalee (NSW)	3.5
Bangalow	3.1
Bangor (NSW)	3.4
Banksia	6
Bankstown	10.8
Banora Point	6.3
Bar Beach	5.1
Bar Point	10.7
Baradine	10.1
Barden Ridge	3.4
Bardia	6.7
Bardwell Park	4.4
Bardwell Valley	6.2
Barellan	2.2
Bargo	4.8
Barham	3.5
Barkers Vale	7.7
Barmedman	12.7
Barnsley	8.2
Barooga	5.1
Barraba	9.8
Barrack Heights	8
Barrack Point	3.6
Barragga Bay	5.9
Barrington (NSW)	3.6
Barry (Blayney - NSW)	3.8
Barwon	28.6
Baryulgil	17.6
Basin View	7
Bass Hill	9.3
Batar Creek	12
Bateau Bay	5.7
Batehaven	11.1
Batemans Bay	13.3
Bathurst	7.9
Batlow	4.8
Baulkham Hills	4.9
Bawley Point	7.4
Bayview (NSW)	3.5
Beacon Hill	3.6
Beaconsfield (NSW)	1.8
Beaumont (NSW)	9.1
Beaumont Hills	4.2
Beckom	6.8
Bedgerabong	9.3
Beechwood	8.6
Beecroft	4
Beelbangera	3.9
Bega	6.1
Belbora	5.8
Belfield	5.1
Belford	4
Belgravia	4.4
Belimbla Park	2.2
Bell (NSW)	18.8
Bella Vista	5.7
Bellambi	10.5
Bellangry	7.7
Bellata	6.1
Bellbird	8.2
Bellbird Heights	7.3
Bellbrook	9.6
Bellevue Hill	3.5
Bellimbopinni	7.4
Bellingen	6.9
Bellmount Forest	4.3
Belmont (NSW)	7.8
Belmont North	7.5
Belmont South	11.9
Belmore	8.4
Belmore River	4.8
Belrose	3.9
Bemboka	6.2
Benandarah	6.3
Bendalong	15.6
Bendemeer	6.1
Bendick Murrell	4.6
Bendolba	10.1
Benerembah	5.3
Bengalla	23.1
Bensville	4.3
Bentley (NSW)	3.6
Berala	10.2
Berambing	14.8
Beresfield	9.8
Berkeley	9.1
Berkeley Vale	6.4
Berkshire Park	4.3
Bermagui	6.1
Berowra	4
Berowra Heights	3.3
Berrambool	4.7
Berrara	2.5
Berridale	2.2
Berrigan	6.5
Berrilee	5.7
Berrima	3.1
Berry	3.3
Berry Park	7.5
Beryl	15.6
Bethungra	4.7
Beverley Park	5.1
Beverly Hills	6.8
Bexhill	3.8
Bexley	6.1
Bexley North	5.8
Bibbenluke	7.1
Bidwill (NSW)	20.7
Big Springs	4.7
Bigga	4.4
Bilambil	9.7
Bilambil Heights	6.4
Bilbul	3
Bilgola Beach	3.3
Bilgola Plateau	3.1
Billeroy	14.8
Billimari	5.3
Billinudgel	5
Billys Creek	15.4
Billywillinga	9.5
Bilpin	6.3
Bimbimbie	10.3
Binalong	3.7
Binda	5.3
Bingara	6.4
Bingie	6.3
Binjura	6
Binna Burra (NSW)	3.4
Binnaway	15.8
Binya	4.1
Birchgrove	4.2
Birdwood (NSW)	18.8
Birganbigil	11.1
Birmingham Gardens	15.2
Birriwa	14.3
Birrong	9.3
Bishops Bridge	6.3
Black Head	7.5
Black Hill (NSW)	3
Black Mountain (NSW)	5.2
Black Springs (NSW)	6
Blackalls Park	7.6
Blackbutt (NSW)	6.7
Blackett	12.2
Blackheath	5
Blackmans Point	4.9
Blacksmiths	8.3
Blacktown	8.1
Blackville	6.4
Blackwall (NSW)	7.6
Blair Athol (NSW)	6.9
Blairmount	5.3
Blakebrook	5.5
Blakehurst	4.5
Blandford	2.9
Blaxland (NSW)	3.9
Blaxlands Creek	7.1
Blaxlands Ridge	3.1
Blayney	7.9
Bligh Park	4.1
Blue Bay	5.2
Blue Haven	9
Blue Knob	20.3
Blueys Beach	4.5
Boambee	5.2
Boambee East	7.1
Boat Harbour (Lismore - NSW)	11.3
Boat Harbour (Port Stephens - NSW)	3.7
Bobin	11.1
Bobs Farm	6.3
Bocoble	14.9
Bodalla	8.5
Bodangora	7
Bogan Gate	9.1
Bogangar	6.6
Bogee	20.7
Boggabilla	17.2
Boggabri	6.7
Bohena Creek	4.3
Bolong	7.8
Bolton Point	13.1
Bolwarra (NSW)	4.9
Bolwarra Heights	4.1
Bomaderry	7.5
Bombala	3.4
Bombira	1.7
Bombo	6.1
Bombowlee	2.8
Bomera	18.8
Bonalbo	11.8
Bondi	4
Bondi Beach	3.7
Bondi Junction	4.3
Bonnells Bay	7.9
Bonnet Bay	2.2
Bonny Hills	5
Bonnyrigg	11.7
Bonnyrigg Heights	7.8
Bonshaw (NSW)	10.4
Bonville	5.7
Booerie Creek	5.3
Booker Bay	6.3
Bookham	3.5
Boolaroo	8.6
Boomerang Beach	3.9
Boorabee Park	9.3
Booragul	10.2
Booral (NSW)	5.5
Boorganna	50
Boorooma	1.4
Boorowa	4.8
Bootawa	17.1
Bora Ridge	7.5
Boree	7.4
Boree Creek	3.3
Borenore	3.2
Bossley Park	7.3
Bostobrick	11.3
Botany	3.9
Botobolar	5.8
Bourke	7.4
Bourkelands	2.8
Bow Bowing	5.9
Bowan Park	4.8
Bowen Mountain	4.9
Bowenfels	15.5
Bowman	5.8
Bowman Farm	13
Bowmans Creek	80
Bowning	3.7
Bowral	4.2
Bowraville	10.7
Box Hill (NSW)	2.7
Box Ridge	16
Boxers Creek	3.7
Bradbury (NSW)	8.3
Braefield	9.1
Braemar	3.3
Braidwood	5
Brandy Hill	2.1
Branxton	5.3
Braunstone	5.1
Bray Park (NSW)	12.9
Brayton	6.7
Breakfast Point	4.4
Bredbo	7.4
Breeza	7.6
Brewarrina	18.9
Briarbrook	57.1
Bribbaree	7.9
Bridgman	3.6
Brierfield	6.9
Brighton-le-Sands	5.1
Brightwaters	7.3
Brimbin	12
Bringelly	5.2
Brisbane Grove	11.4
Broadmeadow	8.6
Broadwater (Richmond Valley - NSW)	5
Brocklehurst	4.2
Brocklesby	6.5
Brodies Plains	19
Brogo	8.3
Broke (NSW)	5.2
Broken Head	3
Broken Hill	8.8
Bronte	3.6
Brookfield (NSW)	4.2
Brooklet	2.3
Brooklyn (NSW)	3.9
Brookvale	3.8
Brooms Head	10.3
Broughton Village	5.2
Broulee	4.1
Brownlow Hill	5.8
Brownsville	12
Brunkerville	2.8
Brunswick Heads	7.9
Brushgrove	5.3
Bucca (NSW)	6.5
Bucca Wauka	8.3
Buchanan (NSW)	6.2
Buckajo	6.4
Buckaroo	4.5
Buckendoon	20
Bucketty	3.8
Budgee Budgee (NSW)	3
Budgewoi	8.2
Budgong	12.9
Buff Point	8.5
Bugaldie	7.7
Bukkulla	5.7
Bulahdelah	8.1
Bulga (NSW)	6.1
Bullaburra	3.9
Bulldog	133.3
Bulli	4.4
Bumbaldry	15
Bumbalong	23.1
Bundagen	13.7
Bundanoon (NSW)	4.2
Bundarra	9.6
Bundeena	4.4
Bundella	9.3
Bundook	19.4
Bungarby	13
Bungarribee	4.6
Bungawalbin	5.6
Bungendore	2.9
Bungonia	10.2
Bungwahl	8.2
Bunnan	6.7
Bunyah	7.1
Bunyan	3.6
Buronga	6.9
Burra (Queanbeyan-Palerang Regional - NSW)	1.8
Burradoo	3.6
Burragate	8.3
Burraneer	2.2
Burrangong	3.4
Burrapine	30
Burrawang	2.4
Burrell Creek	4.1
Burren Junction	3
Burrill Lake	4.7
Burringbar	7.1
Burroway	5.1
Burrumbuttock	5.5
Burwood (NSW)	10
Burwood Heights	4.8
Busby	13.9
Buttaba	6.2
Butterwick	9.5
Buxton (NSW)	5.2
Byabarra	3.2
Byangum	15.2
Byrock	15.8
Byron Bay	5.6
Byrrill Creek	6.5
Bywong	2.3
Cabarita (NSW)	2.8
Cabarita Beach	15.5
Cabbage Tree Island (Ballina - NSW)	30
Cabramatta	15
Cabramatta West	12.1
Caddens	7.7
Caffreys Flat	25
Calala	3.8
Calderwood	4.2
Caldwell	17.6
Calga	14.3
Callaghan	30.7
Callala Bay	7.8
Callala Beach	9
Camberwell (NSW)	9.7
Cambewarra Village	3.2
Cambridge Gardens	5.1
Cambridge Park	6.5
Camden	4.6
Camden Head	6.1
Camden Park (NSW)	1.9
Camden South	3.5
Cameron Park	4.7
Cammeray	3.5
Campbelltown (NSW)	8.4
Camperdown (NSW)	7.3
Campsie	9.3
Cams Wharf	5.7
Canada Bay	5.7
Canbelego	25
Candelo	5.9
Caniaba	2.1
Canley Heights	11.8
Canley Vale	13.8
Canobolas	2.9
Canowindra	5.3
Canterbury (NSW)	6.2
Canton Beach	10.1
Canyonleigh	3.8
Capertee	4.9
Captains Flat	6.5
Carcalgong	23.5
Carcoar	6.7
Cardiff (NSW)	7.7
Cardiff Heights	5.3
Cardiff South	5.7
Carey Bay	6.3
Cargo	3.6
Carinda	2.9
Caringbah	3.6
Caringbah South	3.1
Carlingford	6.6
Carlton (NSW)	6.4
Carnes Hill	4.4
Carool	8.5
Caroona	12.6
Carramar (NSW)	12.9
Carrathool	4.8
Carrick (NSW)	5.6
Carrington (Newcastle - NSW)	7.4
Carroll	7.2
Carrs Creek	12.3
Carss Park	5.6
Cartwright	14.8
Cartwrights Hill	6.5
Carwoola	2.9
Casino	9.2
Cassilis (NSW)	3.8
Castle Cove	3.5
Castle Hill (NSW)	5.1
Castle Rock	3.3
Castlecrag	5.1
Castlereagh	1.9
Casuarina (NSW)	3.9
Casula	7.5
Catalina	8.8
Catherine Field	3.4
Catherine Hill Bay	9.5
Cattai	3
Caves Beach	6.5
Cawdor (NSW)	3.9
Cawongla	12.9
Cecil Hills	5.7
Cecil Park	4.3
Cedar Brush Creek	8.8
Cedar Party	6
Cedar Point	5.4
Centennial Park (NSW)	4
Central Macdonald	11.5
Central Mangrove	4.2
Cessnock	10.6
Chain Valley Bay	6.7
Chakola	15
Chambigne	12
Charbon	24.3
Charles Sturt University	19.3
Charlestown (NSW)	5.9
Charlotte Bay	4.3
Charmhaven	10
Chatham Valley	18.8
Chatswood	6.7
Chatswood West	4.1
Cheero Point	6.3
Cheltenham (NSW)	5.4
Cherrybrook	5.3
Chester Hill	10
Chifley (NSW)	4.1
Chilcotts Grass	3.3
